open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712106000000,0.177100,0.185560,0.174790,0.184890,765394151,1712109599999,137758645.422970,280606,391481071,70491029.462930,0
1712109600000,0.184910,0.187100,0.183210,0.185670,567178663,1712113199999,105068392.740750,200003,291528605,54014463.883110,0
1712113200000,0.185660,0.186790,0.183960,0.186210,342286216,1712116799999,63447263.685120,110086,176374861,32696617.298880,0
1712116800000,0.186210,0.187310,0.184870,0.186610,315368208,1712120399999,58737878.347780,119148,159968309,29795247.029010,0
1712120400000,0.186600,0.186850,0.182880,0.184320,271902814,1712123999999,50232544.673620,93819,128082271,23662788.769640,0
1712124000000,0.184320,0.186270,0.183850,0.185980,246753979,1712127599999,45696563.795690,84890,129337552,23952276.008020,0
1712127600000,0.185980,0.187350,0.184290,0.184610,307000186,1712131199999,56983795.845000,98192,142166078,26393594.657840,0
1712131200000,0.184600,0.187650,0.182940,0.186890,388605821,1712134799999,72051573.369440,117288,188177427,34887910.852830,0
1712134800000,0.186890,0.187600,0.185500,0.186520,285524486,1712138399999,53277662.208710,91352,139032567,25941659.361140,0
1712138400000,0.186530,0.186630,0.183350,0.184090,381736553,1712141999999,70529464.560160,104097,187952363,34728958.595280,0
1712142000000,0.184080,0.184850,0.181270,0.183430,440986313,1712145599999,80683523.895750,140196,228852948,41887966.131950,0
1712145600000,0.183440,0.183930,0.179500,0.180600,544385531,1712149199999,98771704.265370,145780,255175254,46322026.468050,0
1712149200000,0.180600,0.181960,0.177190,0.178450,595155703,1712152799999,106558978.553130,163553,284601214,50960719.168480,0
1712152800000,0.178450,0.184990,0.178380,0.184080,765614772,1712156399999,140097041.658730,229305,389983810,71373500.771490,0
1712156400000,0.184080,0.184200,0.178360,0.179000,529280467,1712159999999,95671124.535950,143252,249650372,45120214.886400,0
1712160000000,0.179000,0.181430,0.178740,0.179760,415293134,1712163599999,74864625.624670,129949,215822396,38905436.850390,0
1712163600000,0.179770,0.180370,0.175560,0.177270,535140129,1712167199999,95075610.968700,145360,261644260,46480963.099100,0
1712167200000,0.177280,0.177810,0.174100,0.176850,488048065,1712170799999,85761631.282720,142046,220291962,38718591.329640,0
1712170800000,0.176840,0.177300,0.174030,0.175710,277542894,1712174399999,48628588.107730,95645,137027987,24012152.811860,0
1712174400000,0.175720,0.175890,0.172220,0.172760,387812134,1712177999999,67328188.166430,115078,189028223,32809798.514710,0
1712178000000,0.172770,0.176020,0.170190,0.175340,420898512,1712181599999,72463673.264210,134353,196944592,33902543.268990,0
1712181600000,0.175340,0.176940,0.174540,0.175370,315933730,1712185199999,55496222.537310,100579,150689953,26480472.846000,0
1712185200000,0.175360,0.176570,0.175090,0.175350,179198619,1712188799999,31535871.579400,59763,87621341,15420942.068710,0
1712188800000,0.175330,0.178730,0.174710,0.178440,345456067,1712192399999,61242661.717410,115435,178545825,31643339.802040,0
1712192400000,0.178430,0.180710,0.176540,0.177820,349962493,1712195999999,62495353.594430,115061,178617097,31913487.821670,0
1712196000000,0.177810,0.178170,0.173340,0.175930,424304604,1712199599999,74441811.556420,133785,203104021,35635547.812570,0
1712199600000,0.175940,0.176550,0.173500,0.174340,325659913,1712203199999,56908289.676350,107752,156212205,27302253.233670,0
1712203200000,0.174340,0.175600,0.172000,0.175190,348285873,1712206799999,60480100.705630,119991,169288404,29408534.154890,0
1712206800000,0.175190,0.176090,0.173870,0.175440,197505678,1712210399999,34584855.604270,79073,96044587,16820799.532210,0
1712210400000,0.175450,0.178500,0.175400,0.178150,313720211,1712213999999,55628530.994080,98419,169592361,30080885.601220,0
1712214000000,0.178150,0.181160,0.177230,0.179240,350801928,1712217599999,62905967.717230,116891,175197422,31412498.106530,0
1712217600000,0.179250,0.182000,0.178560,0.181500,314802487,1712221199999,56981539.338460,104699,160717557,29093740.021440,0
1712221200000,0.181510,0.182290,0.180090,0.181490,284316366,1712224799999,51510799.970120,87983,137634667,24940268.056840,0
1712224800000,0.181490,0.182430,0.180170,0.181270,213063758,1712228399999,38625843.630730,74419,101283389,18363567.017990,0
1712228400000,0.181270,0.182680,0.180550,0.181850,202791170,1712231999999,36846212.556380,66303,101709325,18480404.154320,0
1712232000000,0.181850,0.184730,0.181000,0.183830,394272624,1712235599999,72149084.663190,120547,205803984,37654607.902670,0
1712235600000,0.183820,0.188460,0.183220,0.183330,815862031,1712239199999,151367014.448860,237341,383098297,71089215.193350,0
1712239200000,0.183330,0.185280,0.181910,0.183430,493303019,1712242799999,90669311.842860,136112,244790488,45010191.265470,0
1712242800000,0.183430,0.183750,0.181890,0.183260,309404464,1712246399999,56559453.147780,82853,151128892,27635314.232140,0
1712246400000,0.183260,0.185930,0.182270,0.184020,279469481,1712249999999,51507552.553320,97304,143711087,26491347.314050,0
1712250000000,0.184030,0.187490,0.183440,0.187290,324464104,1712253599999,60076859.527180,108855,174625099,32337090.734160,0
1712253600000,0.187290,0.188270,0.182380,0.183180,574469044,1712257199999,106510335.615120,168286,253280236,46981322.591360,0
1712257200000,0.183170,0.184090,0.181860,0.182480,245642639,1712260799999,44980661.573670,92910,121176059,22194699.515750,0
1712260800000,0.182480,0.182670,0.177590,0.179970,742489458,1712264399999,133255039.538060,217802,343914135,61700733.459370,0
1712264400000,0.179970,0.180480,0.175340,0.177760,364940079,1712267999999,64958761.514880,101873,159274979,28375052.900220,0
